"Reference","Qty","Mouse_PN"
"C1","1","80-C0805C104J4RAUTO"
"C2","1","80-C0805C226M8P7210"
"C3,C7","2","80-C0805C105J4RACLR"
"C5","1","80-C0805C105J4RACLR"
"C6","1","80-C1206C475K5P"
"C9","1","187-CL31A106MBHNNNE"
"C10","1","80-C1206C105J5RECTU"
"D1,D2,D3","3","630-HSMH-H170"
"D4","1","512-SS14"
"F1","1","576-1206L050YR"
"J2","1","640-USB4105-GF-A"
"L2","1","851-CR54NP-100MC"
"Q1","1","583-BC807"
"Q2,Q3","2","583-BC817"
"R3,R4,R6,R7,R8","5","667-ERA-6ARW512V"
"R5,R9","2","603-RT0805BRD0710KL"
"R10","1","603-RT0805FRE131ML"
"R11","1","603-RT0805FRE0737K4L"
"R12","1","603-RT0805BRD0739K2L"
"R13","1","603-AT0805BRE0733KL"
"R14","1","667-ERA-6AEB224V"
"R15","1","603-RT0805BRD0782RL"
"R16,R17","2","603-AT0805BRD071KL"
"R19","1","603-RT0805DRD0722KL"
"R20","1","603-RT0805FRE133K3L"
"SW1,SW2","2","640-SWT0110020010SSA"
"U1","1","356-ESP32-C6MINI1UH4"
"U2","1","621-AP3015AKTR-G1"
"U3","1"," 579-MCP1700T3302E/TT"
